8.944561,7.026363,-1.737533
6.815941,9.742403,-1.928353
9.167175,12.04963,-3.255923
10.03062,11.90791,-3.490909
9.89002,12.35077,-3.917167
13.27256,6.667956,-0.6533802
15.69902,9.52841,-0.5093001
16.36267,8.29524,-3.037846
16.02715,7.816952,-3.721577
16.33928,7.87293,-4.114751
11.8414,4.007525,-1.029714
11.84317,3.532963,-1.974366
10.2345,4.315905,-2.040802
11.22399,3.657503,-2.365694
11.75867,3.960306,-2.825614
11.18502,13.05972,-1.176617
11.38354,18.00734,-2.236977
10.50861,23.09106,-1.299181
10.67937,23.96409,-2.779459
13.48112,12.59917,0.1118213
15.20653,17.7455,-1.155244
16.00671,22.16144,-3.859284
16.61398,22.44144,-4.821717
11.76942,11.42658,-0.4938056
